[2024-12-02 23:32:13,321] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:32:52,528] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:32:52,544] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:34:06,036] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:34:06,054] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:39:20,983] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:39:20,996] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:41:15,434] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:41:15,459] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:43:03,599] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:43:03,621] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:43:08,797] INFO: HWID 'ssssss' deleted from whitelist.
[2024-12-02 23:43:12,023] INFO: HWID 'sss' deleted from whitelist.
